Product,Category,Brand,Platform,City,Price,Quantity,TotalAmount,Rating,Reviews,year,Month,Day
5,2,8,2,1,16284.02,1,16284.02,1.39,1684,2024,11,11
4,3,7,1,0,6645.2,2,13290.4,2.56,3604,2024,6,22
1,0,6,1,2,8882.92,3,26648.76,4.98,1257,2024,5,27
3,1,5,2,3,3665.44,1,3665.44,1.44,662,2024,7,25
9,2,1,2,2,5210.37,2,10420.74,3.73,2424,2024,2,19
7,3,4,2,5,19869.86,5,99349.3,3.91,2154,2024,9,28
7,3,4,2,2,17796.11,2,35592.22,4.18,4309,2024,7,2
6,4,3,2,2,13081.14,3,39243.42,2.98,3504,2024,1,30
7,3,4,0,3,510.3,5,2551.5,1.17,178,2024,9,21
8,2,9,1,5,6326.57,3,18979.71,2.05,4589,2024,9,26
5,2,8,1,5,10283.51,1,10283.51,3.05,4702,2024,2,20
2,1,2,1,2,451.79,2,903.58,4.28,618,2024,5,18
3,1,5,2,3,5904.49,3,17713.47,2.6,1215,2024,8,9
3,1,5,1,3,19853.19,4,79412.76,3.46,2143,2024,4,6
3,1,5,1,0,17920.82,4,71683.28,4.84,2166,2024,7,11
8,2,9,0,1,15802.27,5,79011.35,1.75,1853,2024,2,2
5,2,8,2,0,3529.77,5,17648.85,2.06,717,2024,5,9
2,1,2,0,1,13247.77,3,39743.31,3.86,4403,2024,12,17
9,2,1,0,4,13936.49,2,27872.98,1.42,153,2024,1,24
7,3,4,2,1,5953.25,3,17859.75,1.99,3079,2024,3,12
0,3,0,0,3,9716.95,4,38867.8,1.76,60,2024,6,28
5,2,8,1,2,12134.55,4,48538.2,4.61,2413,2024,1,28
9,2,1,1,0,3597.29,1,3597.29,4.63,2559,2024,4,7
2,1,2,1,2,17087.44,3,51262.32,4.75,2187,2024,1,7
5,2,8,2,3,7396.38,2,14792.76,4.34,1123,2024,2,8
8,2,9,2,2,15915.39,5,79576.95,1.73,534,2024,1,2
9,2,1,2,3,14633.56,4,58534.24,3.0,4444,2024,5,26
3,1,5,2,4,19624.3,1,19624.3,4.55,3542,2024,12,22
1,0,6,0,4,12094.71,2,24189.42,3.37,628,2024,8,28
6,4,3,1,3,1682.41,2,3364.82,2.35,3355,2024,9,23
5,2,8,1,4,6584.51,3,19753.53,1.02,4582,2024,9,7
3,1,5,2,4,3760.61,2,7521.22,3.05,2947,2024,5,4
2,1,2,0,0,15781.15,4,63124.6,2.04,4325,2024,8,8
0,3,0,2,0,9205.93,2,18411.86,1.53,4684,2024,11,26
0,3,0,2,5,8827.96,5,44139.8,2.22,1653,2024,4,26
9,2,1,2,2,3698.12,4,14792.48,4.0,4028,2024,6,22
9,2,1,2,1,19025.22,2,38050.44,1.07,2108,2024,9,5
1,0,6,0,0,7460.49,5,37302.45,1.76,967,2024,10,16
2,1,2,1,3,8959.05,3,26877.15,3.54,3816,2024,9,8
8,2,9,1,3,16159.36,4,64637.44,2.66,1433,2024,3,24
3,1,5,2,4,14053.17,5,70265.85,2.92,2252,2024,2,19
2,1,2,0,2,5551.93,5,27759.65,3.65,4041,2024,6,24
8,2,9,2,3,12852.91,4,51411.64,1.38,4551,2024,11,28
4,3,7,2,1,8129.36,5,40646.8,4.28,1636,2024,1,23
9,2,1,1,2,8545.16,2,17090.32,1.57,3430,2024,10,15
4,3,7,1,3,12387.97,4,49551.88,2.32,1568,2024,1,3
7,3,4,0,4,10278.34,1,10278.34,4.39,3827,2024,7,24
4,3,7,1,4,11576.04,5,57880.2,3.97,2789,2024,11,24
8,2,9,1,2,12112.14,3,36336.42,3.7,2088,2024,11,29
8,2,9,2,2,2211.64,4,8846.56,1.88,1320,2024,5,10
3,1,5,1,1,3124.84,5,15624.2,4.13,2304,2024,1,13
9,2,1,0,5,756.73,2,1513.46,4.57,3465,2024,12,23
9,2,1,2,5,14895.57,1,14895.57,3.73,4267,2024,10,1
2,1,2,1,3,18273.23,1,18273.23,1.46,1062,2024,4,9
